STATE,STCNTY,COUNTYNAME,POP19,TAXFILERS,NUMDEP,NUMELDER,INCOME,NUMFARM,INCTAX,TEMPERATURE
MT,MT Glacier County,Glacier County,13753,4610,4090,990,178703000,260,11469000,43.38243474
MT,MT Golden Valley County,Golden Valley County,821,470,180,190,19239000,60,1298000,43.76429282
MT,MT Granite County,Granite County,3379,1230,460,470,75424000,80,7206000,43.3672824
MT,MT Hill County,Hill County,16484,7250,4830,1930,381870000,250,31285000,42.96385922
MT,MT Jefferson County,Jefferson County,12221,5120,2760,1870,370847000,200,38396000,43.06646429
MT,MT Judith Basin County,Judith Basin County,2007,600,260,250,28888000,140,1870000,44.57008193
MT,MT Lake County,Lake County,30458,11330,7200,3890,590224000,660,48859000,45.88042488
MT,MT Lewis and Clark County,Lewis and Clark County,69432,0,0,0,0,0,0,
MT,MT Liberty County,Liberty County,2337,810,360,300,36405000,90,2486000,42.68288296
MT,MT Lincoln County,Lincoln County,19980,7630,3840,3000,384579000,140,30921000,46.17454151
MT,MT Madison County,Madison County,8600,2960,1220,1230,199586000,210,19779000,45.88345642
MT,MT McCone County,McCone County,1664,2240,1730,700,103014000,280,6887000,43.89001207
MT,MT Meagher County,Meagher County,1862,830,330,300,41052000,60,3396000,39.32509382
MT,MT Mineral County,Mineral County,4397,2080,1000,780,106024000,30,8914000,48.20613877
MT,MT Missoula County,Missoula County,119600,55460,23760,13840,3651979000,410,406563000,43.87788328
MT,MT Musselshell County,Musselshell County,4633,1670,900,610,92188000,110,7871000,47.84049243
MT,MT Park County,Park County,16606,8440,3180,2630,513371000,190,52326000,43.510225
MT,MT Petroleum County,Petroleum County,487,170,90,60,7909000,50,488000,45.51439547
MT,MT Phillips County,Phillips County,3954,1720,910,590,83036000,240,5887000,43.45868369
MT,MT Pondera County,Pondera County,5911,2410,1050,820,114961000,260,8679000,42.88359157
MT,MT Powder River County,Powder River County,1682,550,240,210,26821000,160,1658000,46.49358517
MT,MT Powell County,Powell County,6890,2170,960,750,105214000,100,7816000,42.57843102
MT,MT Prairie County,Prairie County,1077,400,170,180,19885000,80,1404000,44.89961285
MT,MT Ravalli County,Ravalli County,43806,20460,9680,7840,1283144000,740,126701000,46.24640719
MT,MT Richland County,Richland County,10803,6650,4560,1630,455176000,450,46935000,44.0130465
MT,MT Roosevelt County,Roosevelt County,11004,950,620,300,63540000,150,5752000,43.14603784
MT,MT Rosebud County,Rosebud County,8937,1760,1010,620,95880000,220,7705000,46.35417135
MT,MT Sanders County,Sanders County,12113,4400,2370,1860,225309000,140,18045000,47.52456141
MT,MT Sheridan County,Sheridan County,3309,1340,610,500,78478000,170,7047000,41.39929133
MT,MT Silver Bow County,Silver Bow County,34915,15380,7280,4490,870203000,80,82772000,43.45976539
MT,MT Stillwater County,Stillwater County,9642,4300,2190,1490,292703000,260,27928000,45.49576326
MT,MT Sweet Grass County,Sweet Grass County,3737,1500,790,530,93494000,150,8716000,45.36941999
MT,MT Teton County,Teton County,6147,2770,1490,930,147511000,360,11734000,44.27372513
MT,MT Toole County,Toole County,4736,1860,850,550,98571000,60,8694000,42.94517349
MT,MT Treasure County,Treasure County,696,290,150,130,15578000,70,1154000,46.61417404
MT,MT Valley County,Valley County,7396,3150,1660,1050,188125000,270,17045000,43.50376109
